             u1              u2              u3              u4             u5             u6              u7              y 
  2.4092061e-001  6.5813818e-001  3.4141101e-001  5.1449442e-001  7.1158514e-001  7.5763110e-001  7.6273293e-001  2.4100650e-001
  2.4205712e-001  6.3964394e-001  4.1901848e-001  5.1769925e-001  7.0714302e-001  8.1610410e-001  7.9727117e-001  2.4419737e-001
  2.4319300e-001  6.8228859e-001  3.6660515e-001  5.2090408e-001  6.9927073e-001  7.5726961e-001  7.7451297e-001  2.4873731e-001
  2.4432951e-001  6.2778027e-001  2.6455133e-001  5.2662278e-001  6.8626766e-001  7.5167832e-001  7.2477193e-001  2.5090010e-001
  7.2806216e-002  6.4301672e-001  2.9756288e-001  5.3518217e-001  7.0917746e-001  7.8023567e-001  7.9339019e-001  2.4885268e-001
  1.3205885e-001  6.4728575e-001  1.4761046e-001  5.4374157e-001  7.0422278e-001  7.9172496e-001  7.6959753e-001  2.5192147e-001
  1.4003798e-001  6.6483066e-001  2.0091353e-001  5.5230124e-001  7.3735078e-001  8.2623038e-001  8.0774598e-001  2.5753295e-001
  1.3542133e-001  6.6495153e-001  2.2386432e-001  5.5197965e-001  7.3233565e-001  8.2892822e-001  8.2702241e-001  2.6421490e-001
  1.3080404e-001  6.6648461e-001  2.8040409e-001  5.4943788e-001  7.2732052e-001  8.1315901e-001  8.1331230e-001  2.7009967e-001
  1.1080979e-001  6.6414962e-001  3.4874576e-001  5.4689612e-001  7.2095566e-001  7.7512480e-001  7.5972153e-001  2.7675261e-001
  5.5404897e-002  6.3762441e-001  2.7286100e-001  5.4435408e-001  6.8125121e-001  7.4390404e-001  7.3167125e-001  2.7988109e-001
  0.0000000e+000  6.3355880e-001  1.9718420e-001  5.4181231e-001  6.8607446e-001  7.4017182e-001  7.2285054e-001  2.8342946e-001
  1.3930087e-001  6.6977336e-001  1.8724697e-001  5.3927055e-001  7.2239212e-001  7.9373738e-001  7.7390027e-001  2.8342662e-001
  1.7076456e-001  6.5955038e-001  2.4262266e-001  5.6177207e-001  7.2995688e-001  8.2900959e-001  7.9527340e-001  2.8338823e-001
  1.7422689e-001  6.5439688e-001  1.9712780e-001  5.8048692e-001  7.0346578e-001  7.7075098e-001  7.6257498e-001  2.8115132e-001
  2.3931155e-001  1.0000000e+000  1.5495442e-001  6.4098867e-001  7.0011053e-001  8.0251788e-001  7.9148268e-001  2.8221239e-001
  2.5363087e-001  6.1136159e-001  1.4293497e-001  7.3706352e-001  7.9000706e-001  8.0864905e-001  8.1413327e-001  2.8340843e-001
  2.5257576e-001  6.4498613e-001  4.3699105e-001  7.9345810e-001  8.9216149e-001  9.6256983e-001  9.7114957e-001  2.8533860e-001
  2.0330562e-001  7.2413575e-001  5.1493961e-001  6.1462228e-001  7.6079023e-001  8.5450605e-001  8.6317830e-001  2.8649487e-001
  1.5222800e-001  6.9659340e-001  4.8741732e-001  5.8807244e-001  7.5623245e-001  7.6548519e-001  7.3134841e-001  2.9006141e-001
  1.0114974e-001  6.8844597e-001  4.9600285e-001  5.9163450e-001  7.7190474e-001  7.6621129e-001  7.5927893e-001  2.9321660e-001
  1.0050485e-001  6.9330317e-001  5.2540324e-001  5.9519684e-001  7.7490514e-001  7.6471527e-001  7.8153378e-001  2.9326265e-001
  1.0174885e-001  6.7161158e-001  4.9135423e-001  5.9875890e-001  7.4906196e-001  7.2912539e-001  7.3888299e-001  2.9561323e-001
  1.0299284e-001  6.5591816e-001  4.4570819e-001  6.0232096e-001  7.3128426e-001  7.2156706e-001  7.4139451e-001  2.9998999e-001
  1.0423747e-001  6.8171074e-001  4.3076398e-001  6.0588303e-001  6.9823905e-001  7.3455080e-001  7.3663181e-001  3.0900097e-001
  1.0548147e-001  6.7461583e-001  4.2316411e-001  6.0944536e-001  6.8981873e-001  7.3592163e-001  7.3663181e-001  3.1687329e-001
  1.0672547e-001  6.5071749e-001  3.1313172e-001  6.1300743e-001  7.0847697e-001  7.3658044e-001  7.6155440e-001  3.2588654e-001
  1.1011020e-001  6.9013088e-001  4.1214759e-001  6.2106952e-001  7.5420983e-001  8.2485642e-001  8.2840748e-001  3.3682480e-001
  1.1591425e-001  7.0153463e-001  4.6630243e-001  6.2927334e-001  7.3609832e-001  7.9916436e-001  8.2083646e-001  3.5037181e-001
  1.2171766e-001  7.0462437e-001  5.0627964e-001  6.3747717e-001  7.2341854e-001  7.7518270e-001  7.8585041e-001  3.6057670e-001
  1.2752170e-001  6.8383346e-001  5.0906206e-001  6.4568099e-001  7.1989901e-001  7.8021846e-001  7.3966404e-001  3.7391642e-001
  1.3332574e-001  6.6354818e-001  4.9126905e-001  6.5388481e-001  7.1637948e-001  7.7272741e-001  7.8073364e-001  3.8616043e-001
  1.3912915e-001  6.3794576e-001  4.6667153e-001  6.6208863e-001  7.1644782e-001  8.0758337e-001  7.8073364e-001  3.8494393e-001
  1.4493320e-001  6.8562599e-001  5.1568701e-001  6.7029246e-001  7.2531630e-001  7.7683990e-001  8.0827363e-001  3.7502575e-001
  1.5073724e-001  6.6313543e-001  5.0233314e-001  6.5847629e-001  7.2328975e-001  7.8995665e-001  7.7998729e-001  3.7623976e-001
  1.5654065e-001  6.9129838e-001  5.5634563e-001  6.4174208e-001  7.3589329e-001  8.0090450e-001  8.0893492e-001  3.7386699e-001
  1.6234469e-001  7.0345687e-001  6.2908846e-001  6.2500787e-001  7.4335291e-001  7.9877314e-001  8.0442563e-001  3.6953167e-001
  1.6814874e-001  6.9534335e-001  6.4085276e-001  6.0827367e-001  7.3093336e-001  7.9664335e-001  7.8410953e-001  3.6717936e-001
  1.7395214e-001  6.8347968e-001  6.6350082e-001  5.9153918e-001  7.1851512e-001  7.6687792e-001  7.7572621e-001  3.6712708e-001
  1.8243307e-001  6.7722943e-001  6.0404587e-001  5.7480497e-001  7.0609557e-001  7.6572148e-001  7.6748695e-001  3.6611456e-001
  1.9244482e-001  6.6177924e-001  6.1659556e-001  5.5997350e-001  7.1942457e-001  7.6868066e-001  7.7728832e-001  3.6842767e-001
  2.0245721e-001  6.8257162e-001  6.0322250e-001  5.4729258e-001  7.2140645e-001  7.9667778e-001  8.1692077e-001  3.6838279e-001
  2.1246896e-001  7.1709832e-001  6.1645360e-001  5.3461166e-001  7.2015266e-001  7.7974586e-001  7.8876635e-001  3.7156343e-001
  2.2248135e-001  7.1252562e-001  6.1028292e-001  5.2193074e-001  7.1889888e-001  8.0637059e-001  7.7646040e-001  3.7385847e-001
  2.3249311e-001  6.7067257e-001  6.3102871e-001  5.0924981e-001  7.1764510e-001  8.0181525e-001  8.2377843e-001  3.7942336e-001
  2.4250549e-001  7.0540270e-001  5.9885012e-001  4.9656889e-001  7.2545693e-001  7.9961348e-001  8.0515114e-001  3.8285354e-001
  2.5251725e-001  7.0588621e-001  6.2877615e-001  4.8388797e-001  7.5852054e-001  7.8856079e-001  8.3275535e-001  3.8382118e-001
  3.2174920e-001  7.2522806e-001  6.9315252e-001  4.7120733e-001  7.7100449e-001  8.3150400e-001  8.5290309e-001  3.8377910e-001
  3.1367086e-001  6.2821661e-001  7.5883493e-001  4.4625852e-001  7.6587764e-001  7.9560115e-001  8.3636556e-001  3.8370580e-001
  3.0559251e-001  6.6852626e-001  8.3729416e-001  3.4344634e-001  7.5833391e-001  8.2467803e-001  8.2793538e-001  3.8372682e-001
  2.9751417e-001  6.9798054e-001  7.6672793e-001  2.5736034e-001  6.9104491e-001  7.2461074e-001  7.4714481e-001  3.8295581e-001
  2.8943583e-001  6.4452621e-001  5.8436977e-001  2.7743228e-001  6.8591150e-001  7.1628562e-001  7.2224479e-001  3.7947563e-001
  2.8135748e-001  6.5245105e-001  5.3801163e-001  2.9750393e-001  6.9794072e-001  7.9261068e-001  7.9201207e-001  3.7273913e-001
  2.7327914e-001  7.0164076e-001  6.0902408e-001  3.1757586e-001  6.7605602e-001  7.8432624e-001  7.8374330e-001  3.6258985e-001
  2.6520079e-001  6.8526041e-001  6.2791479e-001  3.3764780e-001  6.5319090e-001  7.5011345e-001  7.5669624e-001  3.5148930e-001
  2.5712245e-001  6.8653404e-001  6.2216079e-001  3.5771973e-001  6.2867116e-001  7.5824609e-001  7.4013615e-001  3.4148739e-001
  2.4904411e-001  6.9247767e-001  6.3636681e-001  3.7779166e-001  6.0865663e-001  7.8423235e-001  7.7094962e-001  3.3370655e-001
  2.4096576e-001  7.0186630e-001  6.3724697e-001  3.8056881e-001  5.9623707e-001  7.6969469e-001  7.5980658e-001  3.2788996e-001
  2.3288742e-001  6.9029598e-001  6.9894489e-001  3.8280059e-001  5.8314332e-001  7.4459572e-001  7.5581105e-001  3.2588654e-001
  2.2480908e-001  6.7274812e-001  7.0266425e-001  3.8503237e-001  5.5337056e-001  7.4693676e-001  7.2009428e-001  3.2464617e-001
  2.1673073e-001  6.8522060e-001  7.0663185e-001  3.8726443e-001  5.2359649e-001  7.1218566e-001  6.9804250e-001  3.2704054e-001
  2.0865239e-001  6.8053145e-001  7.1129583e-001  3.8949621e-001  4.9382374e-001  7.1759072e-001  7.0182802e-001  3.2899680e-001
  1.9033588e-001  6.6359535e-001  7.1497721e-001  3.9172827e-001  4.4838395e-001  7.0202025e-001  6.8201005e-001  3.2900475e-001
  1.7166640e-001  6.8127440e-001  6.9342723e-001  3.9396005e-001  4.1476836e-001  6.8733549e-001  6.4324891e-001  3.3460885e-001
  1.7834620e-001  6.7601476e-001  6.7877615e-001  3.9742403e-001  3.9168245e-001  6.7242383e-001  6.3092560e-001  3.4352778e-001
  1.9125234e-001  6.8618025e-001  6.6668073e-001  4.0870836e-001  3.6859522e-001  6.6041344e-001  6.1810936e-001  3.5697802e-001
  2.0415912e-001  6.4732113e-001  5.9774283e-001  4.1999270e-001  3.6111458e-001  6.5279251e-001  6.3313165e-001  3.7493406e-001
  2.1706590e-001  6.4859476e-001  5.9926641e-001  4.3127703e-001  4.0043396e-001  6.9360437e-001  6.5945493e-001  3.9635662e-001
  2.2997268e-001  6.9090921e-001  6.0267384e-001  4.4256136e-001  4.1696971e-001  7.1736225e-001  6.9027882e-001  4.1758773e-001
  2.4287946e-001  6.9860998e-001  6.0424462e-001  4.5384569e-001  4.3350677e-001  6.8506956e-001  6.7840332e-001  4.4181601e-001
  2.5578624e-001  6.8151026e-001  6.0315613e-001  4.6513002e-001  4.5004383e-001  6.7637983e-001  6.6532152e-001  4.6986860e-001
  2.6869302e-001  6.9016626e-001  5.9779961e-001  4.7641435e-001  4.6658089e-001  6.9208018e-001  6.6171478e-001  5.0232342e-001
  2.8159979e-001  6.6572987e-001  5.9793198e-001  5.0414142e-001  4.8311795e-001  7.0990720e-001  7.0505464e-001  5.3802237e-001
  2.9450657e-001  6.5955038e-001  4.3590295e-001  5.4127440e-001  5.1198651e-001  7.0595277e-001  7.1000826e-001  5.6482121e-001
  3.0741335e-001  6.7419865e-001  4.9699504e-001  5.7840737e-001  5.8851592e-001  8.0591522e-001  8.0220396e-001  5.9267402e-001
  3.2032013e-001  6.6610724e-001  5.1106831e-001  6.1554035e-001  6.5897618e-001  8.3033034e-001  8.3034797e-001  6.2175920e-001
  3.3322691e-001  6.9456501e-001  5.0014656e-001  6.5267333e-001  7.2690259e-001  8.7588063e-001  8.7349343e-001  6.4612675e-001
  3.8296959e-001  6.9837413e-001  5.0309013e-001  6.8980631e-001  7.9482768e-001  8.6038058e-001  8.7092637e-001  6.6406689e-001
  4.1824477e-001  6.9404613e-001  5.7452654e-001  7.0987796e-001  8.3651007e-001  8.9376242e-001  8.8283311e-001  6.7624551e-001
  4.1753119e-001  6.5434971e-001  5.7982704e-001  7.1066701e-001  8.5573474e-001  8.9156221e-001  9.2166195e-001  6.8178423e-001
  4.1681824e-001  6.8653404e-001  5.6887652e-001  7.1145607e-001  8.7496074e-001  9.1078666e-001  9.1163841e-001  6.8069333e-001
  4.1610530e-001  6.8681707e-001  5.7526512e-001  7.1224512e-001  8.9506858e-001  9.6603759e-001  9.6164153e-001  6.6956356e-001
  4.1539235e-001  6.5156658e-001  5.7111949e-001  7.1303417e-001  9.1530523e-001  9.3878535e-001  9.3260713e-001  6.4946542e-001
  4.1467941e-001  6.5104769e-001  5.7511357e-001  7.1382350e-001  9.3554187e-001  8.9591568e-001  9.1121490e-001  6.3034802e-001
  3.8798691e-001  6.6717008e-001  5.7342884e-001  7.1461255e-001  9.0899820e-001  8.4368809e-001  8.5057555e-001  6.0711065e-001
  3.4643388e-001  6.6515201e-001  5.8034730e-001  6.2380965e-001  8.6166984e-001  7.5997215e-001  7.8201977e-001  5.7130885e-001
  3.0488020e-001  6.5651960e-001  5.7593694e-001  5.1050523e-001  8.0945910e-001  7.2664038e-001  7.3663181e-001  5.2539034e-001
  2.6932773e-001  7.1545174e-001  5.8033810e-001  3.9720052e-001  7.5839963e-001  7.2248251e-001  7.3214509e-001  4.7745761e-001
  2.7186724e-001  7.1315212e-001  5.7870056e-001  3.5800761e-001  7.3578158e-001  7.3413768e-001  7.5395908e-001  4.2938568e-001
  2.7440675e-001  6.6351280e-001  5.7416704e-001  3.6121023e-001  7.1316354e-001  7.3304070e-001  7.4186835e-001  3.9932150e-001
  2.7694626e-001  6.8956482e-001  5.7380753e-001  3.6441313e-001  6.9660283e-001  7.6984023e-001  7.7797738e-001  3.6024286e-001
  2.7948576e-001  6.6932671e-001  5.8186168e-001  3.7924599e-001  7.0344869e-001  7.9348857e-001  7.6642992e-001  3.2564038e-001
  2.8202527e-001  6.5957397e-001  5.5583496e-001  4.2086049e-001  7.1029456e-001  7.8658592e-001  7.8574801e-001  2.9866838e-001
  2.8456478e-001  6.9646957e-001  5.4880293e-001  4.6247498e-001  7.1714174e-001  7.8166440e-001  7.9696048e-001  2.8310915e-001
  2.8710365e-001  6.8402215e-001  5.7082982e-001  5.0408976e-001  7.2398761e-001  8.1446411e-001  8.0875614e-001  2.6861272e-001
  2.8964316e-001  6.6169669e-001  5.8087716e-001  5.4570425e-001  7.3083348e-001  8.0807317e-001  8.0255457e-001  2.5963356e-001
  2.9218267e-001  6.6357176e-001  5.7606931e-001  5.6303384e-001  7.3768066e-001  8.0392783e-001  7.9805222e-001  2.5838525e-001
  2.9472217e-001  6.8759540e-001  5.7818951e-001  5.5291679e-001  7.3919203e-001  7.5444658e-001  7.7696722e-001  2.5635792e-001
  2.9726168e-001  6.7023476e-001  5.8371675e-001  5.4279973e-001  7.1887785e-001  7.2980924e-001  7.3958941e-001  2.5167943e-001
  2.9980119e-001  6.5787579e-001  5.7880454e-001  5.3268295e-001  6.6872520e-001  7.0630487e-001  7.0434475e-001  2.5182658e-001
  3.0234070e-001  6.9754862e-001  5.7474447e-001  5.2256590e-001  6.7071627e-001  7.5925700e-001  7.5267294e-001  2.5289649e-001
  3.0487957e-001  6.6490436e-001  5.7234994e-001  5.1244885e-001  6.8034570e-001  7.5646214e-001  7.4247584e-001  2.5402152e-001
  3.0741908e-001  6.5245105e-001  5.7451733e-001  5.2750466e-001  6.8997512e-001  7.9079699e-001  7.7495036e-001  2.5529881e-001
  3.0995858e-001  6.7073154e-001  5.8101912e-001  5.3282855e-001  6.9960455e-001  7.9759010e-001  7.8323301e-001  2.5638406e-001
  3.1249809e-001  6.6229813e-001  5.9945595e-001  4.7039866e-001  7.0923397e-001  7.7516861e-001  7.7482366e-001  2.5844831e-001
  2.7045026e-001  6.8088524e-001  5.9830108e-001  4.6222081e-001  7.1886339e-001  8.0481511e-001  7.8605175e-001  2.6401036e-001
  2.7529841e-001  6.7342032e-001  6.0579659e-001  4.6737147e-001  7.2849150e-001  7.7665055e-001  7.9192008e-001  2.6863374e-001
  2.7643301e-001  6.8073193e-001  5.8506039e-001  4.7252241e-001  7.3812093e-001  7.7518270e-001  7.8398977e-001  2.7854414e-001
  2.7544405e-001  6.7547524e-001  5.9950314e-001  4.7767308e-001  7.3630334e-001  7.7198410e-001  7.6818643e-001  2.8991884e-001
  2.7445445e-001  6.7945829e-001  6.0014656e-001  4.8282375e-001  7.2468810e-001  7.5618046e-001  7.7765628e-001  2.9889910e-001
  2.7346485e-001  6.7733557e-001  6.0230436e-001  4.8797441e-001  7.1307417e-001  7.5712408e-001  7.5504214e-001  3.0336279e-001
  2.7247588e-001  6.6919698e-001  6.0693266e-001  4.9312508e-001  7.0605877e-001  7.7228299e-001  7.5801709e-001  3.0450599e-001
  2.7148628e-001  6.5779324e-001  6.0056324e-001  4.9827574e-001  7.0680263e-001  7.5786270e-001  7.4117929e-001  3.0451111e-001
  2.7049668e-001  6.8739492e-001  5.9650317e-001  5.0342669e-001  7.0754517e-001  7.5604745e-001  7.6718147e-001  3.0329688e-001
  2.6950708e-001  6.5807627e-001  5.9933279e-001  5.0857735e-001  7.1318851e-001  7.8735897e-001  7.7833319e-001  3.0096558e-001
  2.7954873e-001  6.8036635e-001  6.0241793e-001  5.1669056e-001  7.2709841e-001  7.6723784e-001  7.7216807e-001  2.9654166e-001
  3.0205705e-001  6.8653404e-001  6.0563583e-001  5.2815171e-001  7.4100700e-001  8.0794485e-001  8.0578466e-001  2.9424957e-001
  3.1545290e-001  6.5721538e-001  5.9748193e-001  5.3961313e-001  7.5491558e-001  8.3384818e-001  8.1835617e-001  2.9193135e-001
  2.8498072e-001  6.5571768e-001  6.0165135e-001  5.5107428e-001  7.6165105e-001  8.0169006e-001  8.0942091e-001  2.8870855e-001
  3.0352427e-001  6.5942066e-001  6.1118226e-001  5.5843573e-001  7.4066135e-001  7.6619564e-001  7.8373809e-001  2.8634032e-001
  2.7831236e-001  6.6299391e-001  6.3975468e-001  5.3977641e-001  7.1967165e-001  7.5849178e-001  7.6970861e-001  2.8441016e-001
  2.8027757e-001  6.6043485e-001  6.1503399e-001  5.2111709e-001  7.0392708e-001  7.1124360e-001  7.5412570e-001  2.8424766e-001
  2.8224214e-001  6.5406668e-001  5.4574579e-001  5.0245778e-001  7.0845726e-001  7.2288468e-001  7.4843789e-001  2.8327207e-001
  2.8420735e-001  6.5225057e-001  5.3439816e-001  4.8379846e-001  7.1298743e-001  7.9119603e-001  7.7797738e-001  2.8103282e-001
  2.8617193e-001  6.8378629e-001  5.2825550e-001  4.6513914e-001  7.1751761e-001  8.0064160e-001  8.1550966e-001  2.7769028e-001
  2.8813713e-001  6.5123638e-001  5.4429779e-001  4.4647982e-001  7.2204648e-001  7.9658076e-001  7.8445493e-001  2.7076557e-001
  2.9010234e-001  6.7281888e-001  5.5876855e-001  4.2782050e-001  7.2561989e-001  7.9373738e-001  7.8671131e-001  2.6403649e-001
  2.9206692e-001  6.5824726e-001  5.3539150e-001  4.0916118e-001  7.1037079e-001  7.5894715e-001  7.7365902e-001  2.5971481e-001
  2.9403213e-001  6.9202954e-001  5.6216639e-001  3.9050187e-001  7.1161143e-001  7.5810212e-001  7.7620352e-001  2.5653122e-001
  2.9599670e-001  6.5406668e-001  4.9199804e-001  3.7184255e-001  7.0472876e-001  7.7990392e-001  7.5995064e-001  2.5066236e-001
  2.9796191e-001  6.7484726e-001  4.3083956e-001  3.5318323e-001  6.9784478e-001  7.3025210e-001  7.2545232e-001  2.4746797e-001
  2.9992648e-001  6.4327616e-001  3.6830868e-001  3.4623399e-001  6.9427005e-001  7.5258908e-001  7.2347017e-001  2.4283436e-001
  3.0002315e-001  6.5296993e-001  2.6588576e-001  3.5251988e-001  6.9627689e-001  7.0868660e-001  7.2836305e-001  2.3738484e-001
  2.9576075e-001  6.6442085e-001  2.5975307e-001  3.5880550e-001  7.2813009e-001  7.4702440e-001  7.6970861e-001  2.3177337e-001
  2.9149771e-001  6.9181727e-001  2.3816510e-001  3.6509112e-001  7.3383388e-001  7.4485705e-001  7.6970861e-001  2.3185046e-001
  2.8723530e-001  6.6880782e-001  2.7153617e-001  3.7137674e-001  7.3953768e-001  7.4756897e-001  7.4586562e-001  2.3405978e-001
  2.8297290e-001  6.9534335e-001  3.2773024e-001  3.7766264e-001  7.4062981e-001  7.4502918e-001  7.5295239e-001  2.4753104e-001
  2.7870986e-001  6.8083806e-001  3.6200563e-001  3.8394826e-001  7.3394296e-001  7.4855171e-001  7.6819337e-001  2.6102620e-001
  2.7444745e-001  6.6299391e-001  3.6535590e-001  3.9023388e-001  7.2725481e-001  7.1857659e-001  7.1362541e-001  2.7790949e-001
  2.7018441e-001  6.7411610e-001  3.8717407e-001  3.9651949e-001  7.1846649e-001  7.1410419e-001  7.2684433e-001  2.9134382e-001
  2.6592201e-001  6.8439215e-001  3.4207554e-001  4.0280511e-001  7.2285079e-001  7.3949736e-001  7.4006325e-001  3.0110195e-001
  2.6165897e-001  6.4834122e-001  3.9469950e-001  4.0909101e-001  7.2952975e-001  7.3922351e-001  7.5328217e-001  3.1015440e-001
  2.5739656e-001  6.7549587e-001  3.8779562e-001  4.1537663e-001  7.1846912e-001  7.4699153e-001  7.3291052e-001  3.0777879e-001
  2.5313352e-001  6.5656677e-001  3.5780322e-001  4.2166225e-001  7.0834949e-001  7.2031517e-001  7.0669138e-001  2.9996673e-001
  2.4887112e-001  6.6350101e-001  3.5382833e-001  4.2794787e-001  7.0185978e-001  7.3163075e-001  7.3151504e-001  2.8763580e-001
  2.4460871e-001  6.6519919e-001  3.2093993e-001  4.3423376e-001  6.9536876e-001  7.2943993e-001  7.4598711e-001  2.6880136e-001
  2.4034567e-001  6.7562560e-001  2.5126345e-001  4.4051938e-001  6.9341054e-001  7.3540366e-001  7.1664896e-001  2.6107051e-001
  2.3791174e-001  6.9008371e-001  2.3782402e-001  4.4680500e-001  6.9909462e-001  7.2369998e-001  7.5208628e-001  2.4761516e-001
  2.4708335e-001  6.5193216e-001  1.8204162e-001  4.5309062e-001  7.0477739e-001  7.3319406e-001  7.5641680e-001  2.3966387e-001
  2.5625496e-001  6.7150987e-001  1.9246152e-001  4.5937624e-001  7.0937328e-001  7.2146378e-001  7.6570094e-001  2.3298703e-001
  2.6542721e-001  6.6188538e-001  1.4325688e-001  4.6566214e-001  7.0990686e-001  7.5509600e-001  7.5506991e-001  2.2954605e-001
  2.7459882e-001  6.8166357e-001  1.5197325e-001  4.7194775e-001  7.2274828e-001  7.4001847e-001  7.4944805e-001  2.2634427e-001
  2.8377043e-001  6.6558835e-001  1.4919083e-001  4.7823337e-001  7.2341723e-001  7.7256623e-001  7.5930323e-001  2.2518232e-001
  2.9294204e-001  6.6547042e-001  1.5778442e-001  4.8143931e-001  7.2408618e-001  7.6307685e-001  7.8149386e-001  2.2522209e-001
  2.8951214e-001  6.8484765e-001  1.5922321e-001  4.8288342e-001  7.2212402e-001  7.6323334e-001  7.7308451e-001  2.2754032e-001
  2.8568476e-001  6.8055503e-001  1.8412345e-001  4.8432726e-001  7.1977679e-001  7.4238299e-001  7.7950651e-001  2.3081312e-001
  2.8185737e-001  6.8484765e-001  2.0019414e-001  4.8577136e-001  7.1742956e-001  7.4878018e-001  7.7048620e-001  2.3743200e-001
  2.7802998e-001  6.6610724e-001  1.8428460e-001  4.8721547e-001  7.1508102e-001  7.3674632e-001  7.4462461e-001  2.4530713e-001
  2.7420260e-001  6.6173207e-001  1.4834865e-001  4.8865958e-001  7.1273379e-001  7.2929127e-001  7.1883071e-001  2.5209281e-001
  2.7037521e-001  6.7597938e-001  1.4271743e-001  4.9010369e-001  7.1038656e-001  7.3353677e-001  7.2358473e-001  2.5867615e-001
  2.7201924e-001  6.9793779e-001  1.2102511e-001  4.9154780e-001  7.0803933e-001  7.3703582e-001  7.5537366e-001  2.6766611e-001
  2.7679425e-001  6.5364213e-001  1.2308852e-001  4.9299164e-001  7.0593392e-001  7.7137224e-001  7.7721368e-001  2.7791173e-001
  2.8156863e-001  6.6457564e-001  1.4211160e-001  4.9443574e-001  7.0974127e-001  7.7137224e-001  7.7330667e-001  2.9016368e-001
  2.8634301e-001  6.7332598e-001  1.3920602e-001  4.9587985e-001  7.1124081e-001  7.3204231e-001  7.4574238e-001  3.0474977e-001
  2.9111738e-001  6.9398716e-001  1.2611688e-001  4.9732396e-001  7.1273904e-001  7.3794814e-001  7.6419610e-001  3.2031881e-001
